input_text,target_text,slang_terms,category,difficulty_level
I went into full villain era mode and had no regrets lmao,I went into full a personal phase or period mode and had no regrets right now,villain era,chat,hard
That person has cringe today.,That person has embarrassing energy today.,cringe,chat,medium
Omg that was very wth istg,Oh my goodness that was very what the heck i swear,"wth, shock",texting,medium
How it started: fine. how it's going: say less,"How it began was fine but now it has become understood, I get it without explanation","say less, acknowledgment",meme,medium
Yes continue please this snap is very helpful on god,"Yes please continue, this doing something great is very incredibly helpful honestly","snap, excellence",sarcasm,medium
dude finals are hitting different it's full no cap mode,"best friend final exams are hitting hard, it is full honestly, not lying mode","no cap, honesty",college,medium
nvm its giving chad again,"Never mind, it is showing confident, dominant, impressive person energy again","chad, confidence",texting,medium
That fit is so down bad.,That outfit is so desperately attracted to someone.,so down bad,chat,hard
how incredibly on god of themm im shocked,"How incredibly I swear, seriously of them, I am genuinely shocked","on god, oath",sarcasm,medium
this is yourr dailyy reminder that superr helpful exists bestie,This is your reminder that sarcastically noting something unhelpful is real right now,"sarcasm, irony",social_media,hard
lowkey that fit is so overcooked.,quite openly that outfit is so overcooked.,so overcooked,chat,hard
Wow who could have predicted this say less outcome,"Who could have possibly predicted this understood, I get it without explanation outcome","say less, acknowledgment",sarcasm,medium
bruh tell me why this is so fire,"quite openly can someone explain why this feels so excellent, amazing","fire, quality",chat,medium
Nobody: not a single soul: me in my ick arc:,"No one, not a single person, just me in my sudden feeling of disgust or dislike phase","ick, disgust",meme,medium
Ok fine that was kinda caught lackin tho,Okay I'll admit that was somewhat caught off guard or unprepared though,"caught lackin, unprepared",chat,medium
Truly iconic behavior giving full in my feels today bestie,Iconic behavior showing full experiencing strong emotions today seriously,"in my feels, emotion",sarcasm,hard
Bro the dorm wifi is absolutely sure jan,The dormitory internet connection is absolutely sarcastically disbelieving someone,"sure jan, disbelief",college,medium
ngl my whole situationship is just chronically online,hey my entire undefined relationship is just spending too much time online,"chronically online, internet use",chat,medium
she has such they cookedd af energy today.,She has such extremely they cooked energy today.,they cooked af,chat,hard
Dude i'm literally simping rn periodt,I am literally experiencing being overly devoted to someone right now I swear,"simping, devotion",chat,medium
Wow so main character of you really well done istg,"How very feeling like the protagonist of life of you, truly well done honestly","main character, confidence",sarcasm,medium
omg we are so pls right now in this match,"truly we are performing at the level of please, also expressing helplessness in this match","pls, request",gaming,easy
Is it just me or is this giving she cooked af energy?,Is it just me or is this giving extremely she did it perfectly energy?,she cooked af,chat,hard
I am feeling really salty af right now bestie,I am feeling really extremely bitter or upset right now truly,salty af,chat,hard
lowkey ok but that's giving major sus ngl energy,"not to overthink this but that situation is giving off major suspicious, not gonna lie energy","sus, ngl, suspicion",chat,medium
Absolutely stunning nobody predicted the bruh,Absolutely stunning that nobody anticipated the expressing disbelief or frustration,"bruh, frustration",sarcasm,medium
Found someone who gets the speedrun energy,I found someone who genuinely understands completing a game as fast as possible,"speedrun, speed",social_media,medium
Our squad got absolutely L + ratio this round,Our team was completely overwhelmed this round in a complete failure online way,"L, ratio, criticism",gaming,hard
Is it just me or is this giving she cooked af energy fr,Is it just me or is this giving extremely she did it perfectly energy? and that is funny,she cooked af,chat,hard
His reaction was very af i could not stop laughing fr,His reaction was very as f*** i could not stop laughing seriously,af,chat,hard
Absolutely stunning nobody predicted the main character ong,Absolutely stunning that nobody anticipated the feeling like the protagonist of life not going to lie,"main character, confidence",sarcasm,medium
Nobody: absolutely nobody: me: wya,"Everyone was silent but me, displaying where are you","wya, location",social_media,easy
So impressed by this level of noob tube behavior,So thoroughly impressed by this level of easy weapon used by beginners behavior,"noob tube, gaming",sarcasm,medium
bestie teacher: there are no wrong answers. me: rage quit,I swear teacher says no wrong answers and I respond with quitting out of frustration,"rage quit, frustration",meme,medium
istg that respawn spot is cafeteria bussin honestly,very much that respawn location is genuinely the cafeteria food is excellent,"bussin, food",gaming,hard
Office hours today were actually pwned,The professor held office hours and they were actually decisively defeated,"pwned, defeat",college,medium
My sleep schedule is in its pls era,"My sleep routine is in a please, also expressing helplessness phase","pls, request",college,easy
She is giving ahh energyy lately ong,She is showing expression filler energy lately without question,ahh,chat,medium
She has such ghosted af energy today.,She has such extremely stopped responding completely energy today.,ghosted af,chat,hard
Not to be that person but wth why is everythingg very wow so brave today,Quite openly what the heck why is everything very sarcastically praising an obvious thing today,"sarcasm, irony",texting,hard
Dead ass he was being completely aura farming af at the party.,Truly he was being completely extremely intentionally building a mysterious presence at the party.,aura farming af,chat,hard
Why is people so side eye af lately?,Why is people so extremely side eye lately?,side eye af,chat,hard
"That fit was actually send me af, no cap.","That outfit was actually extremely that made me laugh hard, no lies.",send me af,chat,hard
Tell me why this is very caught in 4k ngl,Can someone explain why this feels very caught doing something with clear evidence friend,"caught in 4K, exposed",chat,hard
Jk but also not jk because it's pulling an all-nighter,I am joking but also not joking because it is staying awake all night to study or work,"all-nighter, studying",texting,hard
That was literally bro tier gameplay,"That was literally a friend, but also expressing surprise tier performance","bro, address",gaming,medium
Tbh i'm just vibing in my diff arc ngl,Honestly I am just relaxing in my skill gap between players phase truly,"diff, skill gap",texting,medium
You can't be dropping the class about this rn,You cannot be so withdrawing from a course about this right now,"dropping, class",chat,hard
Fyi everyone in this chat is fire,"For your information everyone in this group is excellent, amazing","fire, quality",texting,medium
They were being very salty about this whole thing on god,They were being very bitter or upset about this whole thing i swear,salty,chat,medium
He is tryhard af.,He is extremely someone who tries too much.,tryhard af,chat,hard
Everything about this moment is soft launch af.,Everything about this moment is extremely subtly hinting about a relationship.,soft launch af,chat,hard
everything about thiss moment is he cooked.,Everything about this moment is extremely he did it perfectly.,so he cooked,chat,hard
That is giving W energy.,That is giving a very specific W feeling.,W,chat,medium
The devs really buffed the wya again,The developers strengthened the where are you aspect again,"wya, location",gaming,easy
Omw and already feeling bro,"On my way and already feeling friend, but also expressing surprise","bro, address",texting,medium
Truly iconic behavior giving full vibe check today,Iconic behavior showing full testing if someone matches the energy today,"vibe check, assessment",sarcasm,medium
yes because whatt we really needed was more chronically online,"Yes, because what we truly needed was more spending too much time online","chronically online, internet use",sarcasm,medium
She posted that and the energy was low effort.,She posted that and the energy was extremely not trying.,so low effort,chat,hard
Day 47 of my ok boomer arc and counting,Day forty-seven of my dismissing outdated or traditional thinking phase and still going,"ok boomer, dismissal",meme,medium
Step 1: sure jan. step 2: ??? step 3: profit,"Step one is sarcastically disbelieving someone, step two is unclear, step three is profit","sure jan, disbelief",meme,medium
istg absolutely unhinged ick behaviorr honestly,honestly completely unhinged display of sudden feeling of disgust or dislike if I am honest,"ick, disgust",social_media,medium
real talk dropping the class is my omfg era honestly,come on now withdrawing from this course is my extremely shocked phase honestly,"omfg, shock",college,medium
Everyone on Discord went full rent free when that happened.,Everyone on Discord went full extremely staying in your mind uninvited when that happened.,so rent free,chat,hard
the pipeline fromm normall to we do a little trolling is short,The path from normal behavior to playful or mischievous behavior is surprisingly short,"trolling, humor",meme,hard
That whole situation was pure delulu af.,That whole situation was pure extremely being delusional.,delulu af,chat,hard
That fit is very slay.,That outfit is very do something excellently.,so slay,chat,hard
Thank you so much for that one-shot contribution istg,Thank you so much for that wonderful contribution of defeating with a single hit honestly,"one-shot, instant defeat",sarcasm,medium
Wait surely this will go well being very talking stage and all,Quite openly surely this will end well given all the early phase of romantic interest involved,"talking stage, relationship",sarcasm,medium
Bruh that comeback was very ultra drip honestly.,Genuinely that comeback was very stylish outfit or fashion sense honestly.,ultra drip,chat,hard
Thank you very much for that one-shot contribution,Thank you very much for that wonderful contribution of defeating with a single hit,"one-shot, instant defeat",sarcasm,medium
Not all heroes wear capes some are just ikr istg,"Not all remarkable people wear capes, some simply embody I know right and that is funny","ikr, agreement",meme,easy
anyonee else tilted by that cookedd fr move istg,Is anyone else frustrated by that completely done for decision I promise,"cooked, fr, trouble",gaming,medium
She posted that and the energy was overthinking istg,She posted that and the energy was extremely overthinking and that is funny,so overthinking,chat,hard
Wyd? lowkey feeling brainrot rn ong,What are you doing? I am secretly feeling mind absorbed in internet content right now honestly,"brainrot, obsession",texting,medium
istg ok fine that was kinda out of pocket tho,"honestly okay I'll admit that was somewhat crossing a line, inappropriate though","out of pocket, inappropriate",chat,hard
fr tho so impressed by this level of pls behavior,"okay so so thoroughly impressed by this level of please, also expressing helplessness behavior","pls, request",sarcasm,easy
i can not believe how corecore af thatt turned out.,I can not believe how extremely a deeply emotional internet aesthetic that turned out.,corecore af,chat,hard
Not all heroes wear capes some are simply sus ngl fr,"Not all remarkable people wear capes, some simply embody suspicious, not gonna lie and that is funny","sus, ngl, suspicion",meme,medium
Wth why is everything so no way that's so cool today,What the heck why is everything so sarcastically unimpressed today,"sarcasm, unimpressed",texting,hard
Step 1: L + ratio. step 2: ??? step 3: profit,"Step one is complete failure online, step two is unclear, step three is profit","L, ratio, criticism",meme,hard
"For those who don't know, this is yk","For those who are unfamiliar, this is you know","yk, familiarity",social_media,easy
"For those who don't know, this is copium","For those who are unfamiliar, this is using hope to cope with disappointment","copium, coping",social_media,medium
I am feeling actually big yikes right now.,I am feeling actually extremely big yikes right now.,so big yikes,chat,hard
genuinely bro the dorm wifi is absolutely big mad,quite openly the dormitory internet connection is absolutely very angry,"big mad, anger",college,hard
Plot twist: it was moots all along,Unexpected reveal: it was mutual followers the entire time,"moots, mutuals",social_media,medium
Ok but that's giving major gg wp energy,"That situation is giving off major good game, well played energy","gg wp, acknowledgment",chat,medium
The griefer was on full study grind mode,That disruptive player was operating in full working hard studying mode,"grind, studying",gaming,medium
that fit is so touch grass fr,That outfit is so go outside and get off the internet seriously,so touch grass,chat,hard
Dropping the class is my sus era honestly,"Withdrawing from this course is my suspicious, questionable phase honestly","sus, suspicion",college,medium
What a time to be alive and experience idc,What a remarkable time to be alive experiencing I don't care,"idc, indifference",sarcasm,easy
The whole comment section was aura farming af about this.,The whole comment section was extremely intentionally building a mysterious presence about this.,aura farming af,chat,hard
fr tho that carry was so ikr i can't even,very much that assistance was so I know right I cannot process it,"ikr, agreement",gaming,easy
Solo q be like: full team of gg wp players,"Solo queue feels like a team of good game, well played players","gg wp, acknowledgment",gaming,medium
Brain: sleep. also brain: think about cringe,"Brain says sleep but also tells me to think about embarrassing, awkward behavior","cringe, embarrassment",meme,medium
Current status: absolute imo,Current mood: complete in my opinion,"imo, opinion",social_media,easy
The universe when I try to be op:,The universe when I attempt to show overpowered,"op, overpowered",meme,medium
The vibe in that room was literally based.,The vibe in that room was literally confident and unapologetic.,based,chat,medium
ok fine thatt was kinda buffed tho ong,Okay I'll admit that was somewhat made stronger or more powerful though friend,"buffed, strengthened",chat,medium
how it started: fine. how its going: stonks on god,"How it began was fine but now it has become stocks, but often used humorously for a bad decision right now","stonks, irony",meme,medium
The idk is real today folks lmao,The feeling of I don't know is very real today without question,"idk, uncertainty",social_media,easy
lowkey wait is that not capping?,"quite openly wait, is that not considered lying?","capping, dishonesty",chat,medium
The assignment instructions were ratio + L + no cap I swear,The assignment instructions were so multiple criticisms at once I promise,"ratio, L, no cap, criticism",college,hard
Genuinely cannot believe how ligma this got so fast,I genuinely cannot believe how quickly this became a fake disease used as a prank,"ligma, prank",sarcasm,medium
not to be that person but that fit is so npc energy..,come on now that outfit is so npc energy.,so npc energy,chat,hard
The pipeline from normal to grinding is short,The path from normal behavior to working very hard consistently is surprisingly short,"grinding, effort",meme,medium
bestie the universe when I try to be caught lackin:,truly the universe when I attempt to show caught off guard or unprepared,"caught lackin, unprepared",meme,medium
fr tho the syllabus is giving hmu real quick,"not to overthink this but the course outline is displaying hit me up, contact me very early on","hmu, contact",college,easy
Why is everyone so side eye af lately?,Why is everyone so extremely side eye lately?,side eye af,chat,hard
ngl when the nbd hits at 3am and you can't sleep,oh my goodness when the no big deal feeling hits at three in the morning and you cannot sleep,"nbd, trivial",meme,easy
bruh nvm it's giving pls again,"genuinely never mind, it is showing please, also expressing helplessness energy again","pls, request",texting,easy
The audacity to be yk in public,The boldness to display you know so publicly,"yk, familiarity",chat,easy
His reaction was so fire af I could not stop laughing fr,His reaction was so extremely amazing or excellent I could not stop laughing I promise,fire af,chat,hard
lowkey lmk if you see any certified hood classic energy irl,okay so let me know if you notice any something genuinely great from the culture energy in real life,"certified hood classic, authentic",texting,hard
yes because what we really neededd was more down bad,"Yes, because what we truly needed was more desperate, in a pitiful state","down bad, desperation",sarcasm,medium
College budget be like: W eating habits,"College finances lead to very win, success, great outcome eating choices","W, victory",college,medium
Patch notes dropped and the meta is now ong fr,"The update changed things and the approach is now on God, I swear not going to lie","ong, oath",gaming,medium
Ah yes the classic fit move we all expected istg,"Yes, the classic outfit, clothing move we all anticipated honestly","fit, outfit",sarcasm,medium
Absolutely unhinged period behavior genuinely no cap,"Completely unhinged display of end of discussion, that's final if I am honest honestly","period, finality",social_media,medium
Wait is that not iconic honestly?,"Wait, is that not considered sarcastically praising something bad?","sarcasm, irony",chat,medium
How incredibly rn of them I'm shocked bestie,"How incredibly right now of them, I am genuinely shocked right now","rn, present time",sarcasm,easy
Found someone who gets the big mad energy,I found someone who genuinely understands very angry,"big mad, anger",social_media,hard
Surely this will go well being so in my feels and all,Surely this will end well given all the experiencing strong emotions involved,"in my feels, emotion",sarcasm,hard
Bro that player simply hit a snap play,That player simply executed a doing something great play,"snap, excellence",gaming,medium
Dropping the class is my moots era genuinely fr,Withdrawing from this course is my mutual followers phase genuinely right now,"moots, mutuals",college,medium
Bro wya it's giving bruh hours,Where are you? it feels like expressing disbelief or frustration hours,"bruh, frustration",texting,medium
The universe when I try to be caught lackin:,The universe when I attempt to show caught off guard or unprepared,"caught lackin, unprepared",meme,medium
that carry was so big mad i cant evenn,That assistance was so very angry I cannot process it,"big mad, anger",gaming,hard
They were being very hot take aboutt this whole thing.,They were being very an opinion or perspective about this whole thing.,hot take,chat,medium
Bro that player just hit a noob play istg,That player just executed a inexperienced player play truly,"noob, beginner",gaming,medium
Omg that was very cooked fr istg,Oh my goodness that was very completely done for i swear,"cooked, fr, trouble",texting,medium
"For those who don't know, this is hits different","For those who are unfamiliar, this is feels unique or special","hits different, uniqueness",social_media,medium
This era is all about atm and healing,This time period is about at the moment and personal recovery,"atm, present time",social_media,easy
Bro that player just hit a camping play,That player just executed a staying in one spot to ambush play,"camping, strategy",gaming,medium
"You cooked so hard, that was peak hard launch.","You did so well, that was peak hard launch.",hard launch,chat,medium
real talk college budget be like: pressed eating habits,"truly college finances lead to very bothered, upset about something eating choices","pressed, upset",college,medium
me: has one productive day. my brain: its flex time,Me having one productive day and my brain saying it is showing off achievements time,"flex, boasting",meme,medium
His reaction was very period i could not stop laughing.,His reaction was very end of discussion i could not stop laughing.,period,chat,medium
The no way that's so cool is real today folks,The feeling of sarcastically unimpressed is very real today,"sarcasm, unimpressed",social_media,hard
highkey he went full valid af mode during the match.,seriously speaking he went full extremely acceptable and understandable mode during the match.,valid af,chat,hard
"fr tho that fit was actually fam, no cap.","I swear that outfit was actually extremely close friend group, no lies.",so fam,chat,hard
not to be that person but dropping the class is my npc behavior era honestly,everyone withdrawing from this course is my acting mindlessly or robotically phase honestly,"npc behavior, behavior",college,medium
He's being so L + ratio today it's unreal,He is behaving in an extremely complete failure online way today,"L, ratio, criticism",chat,hard
teacher: there are no wrong answers. me: carriedd,Teacher says no wrong answers and I respond with having teammates win it for you,"carried, assistance",meme,medium
Nvm it's giving living in my head rent free again,"Never mind, it is showing constantly thinking about something energy again","rent free, obsession",texting,hard
omg thiss is certified no thoughts just vibes and i will not explain,"I swear this is genuinely carefree, relaxed state and I will not explain further","vibes, relaxed",social_media,hard
genuinely me: has one productive day. my brain: it's snap time,I swear me having one productive day and my brain saying it is doing something great time,"snap, excellence",meme,medium
Thank you very much for that big l contribution,Thank you very much for that wonderful contribution of major loss or failure,"big L, failure",sarcasm,hard
istg bro that midterm ate and left no crumbs im fam,"okay so that midterm absolutely dominated and now I am close friends, family-like people","fam, friendship",college,medium
That fit is very bussin.,That outfit is very extremely good.,so bussin,chat,hard
sis that comment was outta pocket..,not to overthink this but that comment was completely inappropriate.,outta pocket,chat,medium
The way she handled that was throwing af.,The way she handled that was extremely deliberately losing or making mistakes.,throwing af,chat,hard
