id,type,direction,strat,input,reference,slang_term,meaning,base_output,tuned_output,base_rater1,base_rater2,tuned_rater1,tuned_rater2
e2e_000,translate,to_english,grok_heldout,"Serena is the GOAT, nobody touches her record.","Serena is the greatest ever, nobody touches her record.",GOAT,greatest of all time,Serena Williams is widely regarded as the greatest tennis player of all time and has an unbroken winning streak in Grand Slam singles titles that many consider unbeatable.,Serena Williams is widely regarded as the greatest tennis player of all time and has an unbroken winning streak in Grand Slam singles titles that many consider unbeatable.,,,,
e2s_000,translate,to_slang,grok_heldout,"Serena is the greatest ever, nobody touches her record.","Serena is the GOAT, nobody touches her record.",GOAT,greatest of all time,She's a total GOAT and can't be touched by anyone else in terms of records.,She's a total GOAT and can't be touched by anyone else in terms of records.,,,,
e2e_001,translate,to_english,grok_heldout,I still have a soft spot for that band from high school.,I still really love that band from high school.,Soft Spot,special affection,I still harbor a fondness for the music group I enjoyed in my teenage years.,I still harbor a fondness for the music group I enjoyed in my teenage years.,,,,
e2s_001,translate,to_slang,grok_heldout,I still really love that band from high school.,I still have a soft spot for that band from high school.,Soft Spot,special affection,They're lowkey my jam from back in da day.,They're lowkey my jam from back in da day.,,,,
e2e_002,translate,to_english,grok_heldout,You look 6Y as hell in that outfit tonight.,You look really sexy in that outfit tonight.,6Y,sexy,That's a very rude comment about your age and appearance based on what you're wearing.,That's a very rude comment about your age and appearance based on what you're wearing.,,,,
e2s_002,translate,to_slang,grok_heldout,You look really sexy in that outfit tonight.,You look 6Y as hell in that outfit tonight.,6Y,sexy,That outfit is straight fire on you!,That outfit is straight fire on you!,,,,
e2e_003,translate,to_english,grok_heldout,"Straight up, that movie dragged way too long.","Honestly, that movie dragged way too long.",Straight Up,honestly,The film was overly prolonged.,The film was overly prolonged.,,,,
e2s_003,translate,to_slang,grok_heldout,"Honestly, that movie dragged way too long.","Straight up, that movie dragged way too long.",Straight Up,honestly,That flick was hella slow and needed a major edit.,That flick was hella slow and needed a major edit.,,,,
e2e_004,translate,to_english,grok_heldout,It's clear skies now that the project got approved.,Everything's fine now that the project got approved.,Clear Skies,no problems,The sky is currently clear because it has been officially sanctioned for a new development or construction project.,The sky is currently clear because it has been officially sanctioned for a new development or construction project.,,,,
e2s_004,translate,to_slang,grok_heldout,Everything's fine now that the project got approved.,It's clear skies now that the project got approved.,Clear Skies,no problems,Lowkey relieved it passed already.,Lowkey relieved it passed already.,,,,
e2e_005,translate,to_english,grok_heldout,This group chat is pure SIHTH today.,This group chat is full of hard-to-handle stupidity today.,SIHTH,stupidity hard to take,The people in this conversation are extremely silly and hilarious right now.,The people in this conversation are extremely silly and hilarious right now.,,,,
e2s_005,translate,to_slang,grok_heldout,This group chat is full of hard-to-handle stupidity today.,This group chat is pure SIHTH today.,SIHTH,stupidity hard to take,Lowkey savage people in here rn.,Lowkey savage people in here rn.,,,,
